id,nom,latitude,longitude
MEDECINS_0,Medecins 0,48.86636700610114,2.397691270320657
MEDECINS_1,Medecins 1,48.8402483684106,2.3089880666024825
MEDECINS_2,Medecins 2,48.85792102671412,2.3635793212201897
MEDECINS_3,Medecins 3,48.85039611192101,2.400513180347706
MEDECINS_4,Medecins 4,48.868153083076635,2.429248781728344
MEDECINS_5,Medecins 5,48.88739069140456,2.2883266278677032
MEDECINS_6,Medecins 6,48.8295995810341,2.320302679677679
MEDECINS_7,Medecins 7,48.88252286613637,2.282091842566672
MEDECINS_8,Medecins 8,48.82053224749744,2.2986965854619945
MEDECINS_9,Medecins 9,48.86974512449872,2.4141760306982145
MEDECINS_10,Medecins 10,48.8516404773449,2.390826421574105
MEDECINS_11,Medecins 11,48.84597648098489,2.3858038418050245
MEDECINS_12,Medecins 12,48.831158961560746,2.3556928495641585
MEDECINS_13,Medecins 13,48.81793103516752,2.350867005231729
MEDECINS_14,Medecins 14,48.824843920168426,2.4055798271581903
MEDECINS_15,Medecins 15,48.87602270034385,2.2916331303804314
MEDECINS_16,Medecins 16,48.832007726695146,2.4262224785958133
MEDECINS_17,Medecins 17,48.8761653630734,2.305886309591679
MEDECINS_18,Medecins 18,48.818311055894384,2.365913761918144
MEDECINS_19,Medecins 19,48.86103344698644,2.415798738803115
MEDECINS_20,Medecins 20,48.87692244953882,2.2812076931984633
MEDECINS_21,Medecins 21,48.83227808595865,2.36246835733746
MEDECINS_22,Medecins 22,48.82321033065366,2.3845742541734882
MEDECINS_23,Medecins 23,48.82859815438393,2.3527126057836396
MEDECINS_24,Medecins 24,48.86079492092357,2.3977099200324634
MEDECINS_25,Medecins 25,48.88054454746004,2.3226674803581995
MEDECINS_26,Medecins 26,48.83980364485463,2.3848439593196646
MEDECINS_27,Medecins 27,48.8821694430762,2.3032598332306087
MEDECINS_28,Medecins 28,48.89331808757687,2.30660667377132
MEDECINS_29,Medecins 29,48.871445306037316,2.360096328511995
MEDECINS_30,Medecins 30,48.84633109751258,2.3128908182431283
MEDECINS_31,Medecins 31,48.82736329593117,2.384069851879255
MEDECINS_32,Medecins 32,48.856209516232575,2.4039870016710356
MEDECINS_33,Medecins 33,48.888987368477316,2.391117145497975
MEDECINS_34,Medecins 34,48.86636959724954,2.3562149812377413
MEDECINS_35,Medecins 35,48.81701679467398,2.34812281015249
MEDECINS_36,Medecins 36,48.86595337136045,2.3041357644185574
MEDECINS_37,Medecins 37,48.87720622767148,2.305385426828109
MEDECINS_38,Medecins 38,48.890301984317986,2.2916697729493576
MEDECINS_39,Medecins 39,48.8680650300516,2.33334464587917
MEDECINS_40,Medecins 40,48.818554393762085,2.303227136087866
MEDECINS_41,Medecins 41,48.825744660445594,2.352851232284981
MEDECINS_42,Medecins 42,48.8701396873084,2.392033041863731
MEDECINS_43,Medecins 43,48.8783059898379,2.3822004672912547
MEDECINS_44,Medecins 44,48.81786724100619,2.324232689317834
MEDECINS_45,Medecins 45,48.81855620656656,2.357835360170128
MEDECINS_46,Medecins 46,48.848903836126446,2.3801925123137715
MEDECINS_47,Medecins 47,48.881209385307365,2.353502323438543
MEDECINS_48,Medecins 48,48.846812708989695,2.29504328164284
MEDECINS_49,Medecins 49,48.86071520399217,2.3229029019253513
MEDECINS_50,Medecins 50,48.831838020435065,2.3063848650469625
MEDECINS_51,Medecins 51,48.88751688180177,2.4065733913274356
MEDECINS_52,Medecins 52,48.8703148197919,2.2737793245159406
MEDECINS_53,Medecins 53,48.86227976369787,2.2796013337306196
MEDECINS_54,Medecins 54,48.82612873286043,2.361789579160724
MEDECINS_55,Medecins 55,48.855169289227895,2.2904911832454755
MEDECINS_56,Medecins 56,48.830729204210876,2.380048838035797
MEDECINS_57,Medecins 57,48.839675654025264,2.393279053230124
MEDECINS_58,Medecins 58,48.87503647915233,2.3671605778219904
MEDECINS_59,Medecins 59,48.83761629012498,2.3505628750989347
MEDECINS_60,Medecins 60,48.81874559344298,2.371660435618823
MEDECINS_61,Medecins 61,48.84662754692603,2.417311672432286
MEDECINS_62,Medecins 62,48.84809146511414,2.3465602064235354
MEDECINS_63,Medecins 63,48.83945512537068,2.3973419528772073
MEDECINS_64,Medecins 64,48.836671060786436,2.3654945850812554
MEDECINS_65,Medecins 65,48.83559244019747,2.401744520241781
MEDECINS_66,Medecins 66,48.82371358006703,2.3123661890481646
MEDECINS_67,Medecins 67,48.86385894261719,2.4141554899872135
MEDECINS_68,Medecins 68,48.87781496166684,2.3096808786133978
MEDECINS_69,Medecins 69,48.82177224106188,2.390547615788628
MEDECINS_70,Medecins 70,48.878363740882115,2.2906300659478447
MEDECINS_71,Medecins 71,48.83158004916449,2.3127096845162463
MEDECINS_72,Medecins 72,48.82443081626677,2.3658827015645807
MEDECINS_73,Medecins 73,48.83834109854815,2.3482618294357036
MEDECINS_74,Medecins 74,48.84400655152569,2.364548249671469
MEDECINS_75,Medecins 75,48.85584154017902,2.3514830459745846
MEDECINS_76,Medecins 76,48.88275531450422,2.3346628013106607
MEDECINS_77,Medecins 77,48.82812841449616,2.3488293030021636
MEDECINS_78,Medecins 78,48.87102473155935,2.2809852124268786
MEDECINS_79,Medecins 79,48.8227509999759,2.3507349329165224
